sample	unit	fq1	fq2	parhap	mother	inducer
MM1203	KFRAG_01383_c	KFRAG_01383_c.fq.gz	NaN	haploid	WA_077	IVP101
MM1204	KFRAG_01384	KFRAG_01384.fq.gz	NaN	haploid	WA_077	IVP101
MM1204	KFRAG_01384_b	KFRAG_01384_b.fq.gz	NaN	haploid	WA_077	IVP101
MM1204	KFRAG_01384_c	KFRAG_01384_c.fq.gz	NaN	haploid	WA_077	IVP101
MM1205	KFRAG_01385	KFRAG_01385.fq.gz	NaN	haploid	WA_077	IVP101
MM1205	KFRAG_01385_b	KFRAG_01385_b.fq.gz	NaN	haploid	WA_077	IVP101
MM1205	KFRAG_01385_c	KFRAG_01385_c.fq.gz	NaN	haploid	WA_077	IVP101
MM1206	KFRAG_01386	KFRAG_01386.fq.gz	NaN	haploid	WA_077	IVP101
MM1206	KFRAG_01386_b	KFRAG_01386_b.fq.gz	NaN	haploid	WA_077	IVP101
MM1206	KFRAG_01386_c	KFRAG_01386_c.fq.gz	NaN	haploid	WA_077	IVP101
MM1207	KFRAG_01387	KFRAG_01387.fq.gz	NaN	haploid	WA_077	IVP101
MM1207	KFRAG_01387_b	KFRAG_01387_b.fq.gz	NaN	haploid	WA_077	IVP101
MM1207	KFRAG_01387_c	KFRAG_01387_c.fq.gz	NaN	haploid	WA_077	IVP101
MM1208	KFRAG_01388	KFRAG_01388.fq.gz	NaN	haploid	WA_077	IVP101
MM1208	KFRAG_01388_b	KFRAG_01388_b.fq.gz	NaN	haploid	WA_077	IVP101
MM1208	KFRAG_01388_c	KFRAG_01388_c.fq.gz	NaN	haploid	WA_077	IVP101
MM1209	KFRAG_01389	KFRAG_01389.fq.gz	NaN	haploid	WA_077	IVP101
MM1209	KFRAG_01389_b	KFRAG_01389_b.fq.gz	NaN	haploid	WA_077	IVP101
MM1209	KFRAG_01389_c	KFRAG_01389_c.fq.gz	NaN	haploid	WA_077	IVP101
MM1210	KFRAG_01390	KFRAG_01390.fq.gz	NaN	haploid	LR00_026	IVP35
MM1210	KFRAG_01390_b	KFRAG_01390_b.fq.gz	NaN	haploid	LR00_026	IVP35
MM1210	KFRAG_01390_c	KFRAG_01390_c.fq.gz	NaN	haploid	LR00_026	IVP35
MM1211	KFRAG_01391	KFRAG_01391.fq.gz	NaN	haploid	LR00_026	IVP35
MM1211	KFRAG_01391_b	KFRAG_01391_b.fq.gz	NaN	haploid	LR00_026	IVP35
MM1211	KFRAG_01391_c	KFRAG_01391_c.fq.gz	NaN	haploid	LR00_026	IVP35
MM1212	KFRAG_01392	KFRAG_01392.fq.gz	NaN	haploid	LR00_026	IVP35
MM1212	KFRAG_01392_b	KFRAG_01392_b.fq.gz	NaN	haploid	LR00_026	IVP35
MM1212	KFRAG_01392_c	KFRAG_01392_c.fq.gz	NaN	haploid	LR00_026	IVP35
MM1213	KFRAG_01393	KFRAG_01393.fq.gz	NaN	haploid	LR00_026	IVP35
MM1213	KFRAG_01393_b	KFRAG_01393_b.fq.gz	NaN	haploid	LR00_026	IVP35
MM1213	KFRAG_01393_c	KFRAG_01393_c.fq.gz	NaN	haploid	LR00_026	IVP35
MM1214	KFRAG_01394	KFRAG_01394.fq.gz	NaN	haploid	LR00_026	IVP35
MM1214	KFRAG_01394_b	KFRAG_01394_b.fq.gz	NaN	haploid	LR00_026	IVP35
MM1214	KFRAG_01394_c	KFRAG_01394_c.fq.gz	NaN	haploid	LR00_026	IVP35
MM1215	KFRAG_01395	KFRAG_01395.fq.gz	NaN	haploid	LR00_026	IVP35
MM1215	KFRAG_01395_b	KFRAG_01395_b.fq.gz	NaN	haploid	LR00_026	IVP35
MM1215	KFRAG_01395_c	KFRAG_01395_c.fq.gz	NaN	haploid	LR00_026	IVP35
MM1216	KFRAG_01396	KFRAG_01396.fq.gz	NaN	haploid	LR00_026	IVP35
MM1216	KFRAG_01396_b	KFRAG_01396_b.fq.gz	NaN	haploid	LR00_026	IVP35
MM1216	KFRAG_01396_c	KFRAG_01396_c.fq.gz	NaN	haploid	LR00_026	IVP35
MM1217	KFRAG_01397	KFRAG_01397.fq.gz	NaN	haploid	LR00_026	IVP35
